DriverNumber,Driver,Team,LapNumber,LapTime,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,Position
16,5,2,1.0,2456.33,1.0,20.942500000000003,46.389,21.2755,197.0,80.0,259.0,270.0,1,1.0,True,False,1.0
16,5,2,3.0,84.624,2.0,24.007,38.235,22.382,199.0,167.0,250.0,269.0,0,2.0,True,True,1.0
16,5,2,4.0,82.625,2.0,21.892,38.779,21.954,192.0,173.0,252.0,269.0,0,3.0,True,True,1.0
16,5,2,5.0,81.795,2.0,21.314,38.513,21.968,196.0,175.0,253.0,271.0,0,4.0,True,True,1.0
16,5,2,6.0,81.145,2.0,21.568,38.168,21.409,190.0,179.0,252.0,271.0,0,5.0,True,True,1.0
16,5,2,7.0,80.98,2.0,21.37,38.056,21.554,193.0,175.0,253.0,271.0,0,6.0,True,True,1.0
16,5,2,8.0,81.03,2.0,21.25,38.171,21.609,190.0,178.0,252.0,270.0,0,7.0,True,False,1.0
16,5,2,9.0,80.114,2.0,21.092,37.612,21.41,197.0,177.0,252.0,271.0,0,8.0,True,True,1.0
16,5,2,10.0,80.775,2.0,21.036,37.886,21.853,196.0,175.0,252.0,271.0,0,9.0,True,False,1.0
16,5,2,11.0,81.046,2.0,21.279,38.236,21.531,192.0,178.0,253.0,271.0,0,10.0,True,False,1.0
16,5,2,12.0,80.252,2.0,20.949,37.73,21.573,196.0,176.0,252.0,271.0,0,11.0,True,False,1.0
16,5,2,13.0,79.017,2.0,20.818,36.898,21.301,200.0,180.0,253.0,272.0,0,12.0,True,True,1.0
16,5,2,14.0,79.913,2.0,20.847,38.003,21.063,198.0,182.0,253.0,270.0,0,13.0,True,False,1.0
16,5,2,15.0,79.838,2.0,20.763,37.77,21.305,202.0,180.0,252.0,272.0,0,14.0,True,False,1.0
16,5,2,16.0,80.156,2.0,21.139,37.516,21.501,195.0,177.0,253.0,272.0,0,15.0,True,False,1.0
16,5,2,17.0,80.279,2.0,20.925,37.498,21.856,202.0,175.0,253.0,273.0,0,16.0,True,False,1.0
16,5,2,18.0,79.58,2.0,20.612,37.578,21.39,199.0,181.0,254.0,273.0,0,17.0,True,False,1.0
16,5,2,19.0,78.842,2.0,20.806,36.89,21.146,202.0,179.0,253.0,273.0,0,18.0,True,True,1.0
16,5,2,20.0,78.724,2.0,20.573,37.018,21.133,197.0,180.0,254.0,272.0,0,19.0,True,True,1.0
16,5,2,21.0,78.472,2.0,20.609,36.874,20.989,199.0,184.0,254.0,272.0,0,20.0,True,True,1.0
16,5,2,22.0,78.62,2.0,20.591,37.004,21.025,201.0,184.0,255.0,272.0,0,21.0,True,False,1.0
16,5,2,23.0,78.458,2.0,20.638,36.755,21.065,202.0,184.0,254.0,273.0,0,22.0,True,True,1.0
16,5,2,24.0,78.725,2.0,20.436,37.261,21.028,193.0,182.0,254.0,273.0,0,23.0,True,False,1.0
16,5,2,25.0,78.973,2.0,20.408,37.435,21.13,203.0,181.0,254.0,273.0,0,24.0,True,False,1.0
16,5,2,26.0,78.445,2.0,20.305,37.048,21.092,204.0,185.0,254.0,273.0,0,25.0,True,True,1.0
16,5,2,27.0,78.351,2.0,20.507,36.769,21.075,201.0,182.0,255.0,275.0,0,26.0,True,True,1.0
