DriverNumber,Driver,Team,LapNumber,LapTime,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,Position,lap_delta,position_change,cumulative_position_change,pit_stop,pit_stop_count,laps_in_stint,tyre_age_normalized,leader_lap_time,gap_to_leader,car_ahead_time,car_behind_time,gap_to_ahead,gap_to_behind,lap_time_percentile,team_avg_lap_time,gap_to_teammate,rolling_avg_lap_time_3,rolling_std_lap_time_3,rolling_avg_lap_time_5,rolling_std_lap_time_5,rolling_avg_lap_time_10,rolling_std_lap_time_10,rolling_avg_position_3,rolling_avg_position_5,rolling_std_sector1time_5,rolling_std_sector2time_5,rolling_std_sector3time_5,laps_completed,personal_bests_count,team_avg_position,team_best_position,best_lap_so_far,worst_lap_so_far,avg_lap_so_far,best_position_so_far,worst_position_so_far,race_progress,race_phase,race_phase_encoded,compound_age_ratio,fresh_tyre_numeric,speed_consistency,max_speed,min_speed,speed_range,speed_i1_to_fl_ratio,speed_improvement,driver_team_combo,driver_team_encoded,compound_life_interaction,position_stint_interaction
23,0,8,1.0,2494.817,1.0,20.942500000000003,55.498,21.2755,167.0,60.0,259.0,275.0,1,1.0,True,False,13.0,0.0,0.0,0.0,False,0,1,1.0,2456.33,38.48700000000008,2488.609,2497.695,6.208000000000084,2.8780000000001564,0.5625,2505.8375,-11.020500000000084,2494.817,0.0,2494.817,0.0,2494.817,0.0,13.0,13.0,0.0,0.0,0.0,1,0,15.5,13.0,2494.817,2494.817,2494.817,13.0,13.0,0.01282051282051282,early,0,0.012658227848101266,1,99.01977916894516,275.0,60.0,215.0,0.6423076923076924,92.0,0_8,0,1.0,13.0
23,0,8,2.0,142.255,2.0,26.143,40.862,75.25,173.0,181.0,118.0,260.0,0,1.0,True,False,9.0,-2352.562,4.0,4.0,True,1,1,0.013157894736842105,112.131,30.123999999999995,148.277,139.618,-6.021999999999991,-2.6370000000000005,0.8888888888888888,131.745,10.509999999999991,1318.536,1663.5125433617866,1318.536,1663.5125433617866,1318.536,1663.5125433617866,11.0,11.0,3.677308815560639,10.349214849446307,38.16573496115331,2,0,11.5,9.0,142.255,2494.817,1318.536,9.0,13.0,0.02564102564102564,early,0,0.012658227848101266,1,58.47506591132098,260.0,118.0,142.0,1.453781512605042,-55.0,0_8,0,0.0,18.0
23,0,8,3.0,87.834,2.0,25.399,39.935,22.5,158.0,176.0,255.0,277.0,0,2.0,True,True,9.0,-54.42099999999999,-0.0,4.0,False,1,2,0.02631578947368421,84.624,3.210000000000008,87.563,88.269,0.2710000000000008,0.4350000000000023,0.5625,88.9555,-1.1214999999999975,908.302,1374.2317108948548,908.302,1374.2317108948548,908.302,1374.2317108948548,10.333333333333334,10.333333333333334,2.812446399489241,8.73001330659543,30.814792309592697,3,1,12.0,9.0,87.834,2494.817,908.302,9.0,13.0,0.038461538461538464,early,0,0.02531645569620253,1,58.32380874622873,277.0,158.0,119.0,0.6171875,97.0,0_8,0,0.0,18.0
23,0,8,4.0,83.286,2.0,21.826,39.21,22.25,181.0,166.0,263.0,278.0,0,3.0,True,True,9.0,-4.548000000000002,-0.0,4.0,False,1,3,0.039473684210526314,82.314,0.9720000000000084,83.327,83.269,-0.04099999999999682,-0.016999999999995907,0.5,83.48400000000001,-0.1980000000000075,104.45833333333333,32.8117674673735,702.048,1195.4795607690942,702.048,1195.4795607690942,9.0,10.0,2.576213609641094,7.777277088844567,26.625990906052053,4,2,12.0,9.0,83.286,2494.817,702.048,9.0,13.0,0.05128205128205128,early,0,0.0379746835443038,1,56.66862741705796,278.0,166.0,112.0,0.6856060606060606,82.0,0_8,0,0.0,18.0
23,0,8,5.0,83.369,2.0,22.133,39.122,22.114,167.0,167.0,265.0,281.0,0,4.0,True,False,9.0,0.08299999999999841,-0.0,4.0,False,1,4,0.05263157894736842,81.795,1.573999999999998,83.493,83.428,-0.12399999999999523,0.0589999999999975,0.375,83.5215,-0.1525000000000034,84.82966666666667,2.6021599360887784,578.3122000000001,1071.6488586149383,578.3122000000001,1071.6488586149383,9.0,9.8,2.322723767476451,7.062939034141521,23.802968061777506,5,2,12.0,9.0,83.286,2494.817,578.3122000000001,9.0,13.0,0.0641025641025641,early,0,0.05063291139240506,1,61.54673021371647,281.0,167.0,114.0,0.6278195488721805,98.0,0_8,0,0.0,18.0
23,0,8,6.0,83.416,2.0,22.168,39.171,22.077,172.0,175.0,261.0,274.0,0,5.0,True,False,9.0,0.046999999999997044,-0.0,4.0,False,1,5,0.06578947368421052,81.145,2.271000000000001,83.224,83.106,0.19199999999999307,-0.3100000000000023,0.9375,83.0775,0.33849999999999625,83.357,0.0658255243192999,96.032,25.91210370656175,495.8295,979.5740889449352,9.0,9.0,2.0634392891480964,0.7502489586796899,23.70949719416251,6,2,12.0,9.0,83.286,2494.817,495.8295,9.0,13.0,0.07692307692307693,early,0,0.06329113924050633,1,54.543560573178574,274.0,172.0,102.0,0.6564885496183206,89.0,0_8,0,0.0,18.0
23,0,8,7.0,81.913,2.0,21.895,38.406,21.612,173.0,173.0,260.0,278.0,0,6.0,True,True,9.0,-1.5030000000000001,-0.0,4.0,False,1,6,0.07894736842105263,80.808,1.1049999999999898,81.826,82.233,0.0870000000000033,0.3200000000000074,0.5625,82.406,-0.4930000000000092,82.89933333333333,0.8545129214851883,83.9636,2.2526380755924986,436.6985714285714,907.8067507861748,9.0,9.0,1.5247759507547327,0.5414837947713255,0.3243482696114856,7,3,12.0,9.0,81.913,2494.817,436.6985714285714,9.0,13.0,0.08974358974358974,early,0,0.0759493670886076,1,55.910642993977454,278.0,173.0,105.0,0.6628352490421456,87.0,0_8,0,0.0,18.0
23,0,8,8.0,81.536,2.0,21.711,38.18,21.645,178.0,174.0,250.0,279.0,0,7.0,True,True,9.0,-0.37699999999999534,-0.0,4.0,False,1,7,0.09210526315789473,80.272,1.2639999999999958,81.651,81.6,-0.11499999999999488,0.06399999999999295,0.3125,81.8785,-0.34250000000000114,82.28833333333334,0.9946136601640929,82.704,0.9052344997893306,392.30325,849.7942167929749,9.0,9.0,0.19778599545973816,0.4866920997920065,0.2914417609059585,8,4,12.0,9.0,81.536,2494.817,392.30325,9.0,13.0,0.10256410256410256,early,0,0.08860759493670886,1,52.474597028784636,279.0,174.0,105.0,0.7091633466135459,72.0,0_8,0,0.0,18.0
23,0,8,9.0,82.004,2.0,21.83,38.449,21.725,176.0,177.0,253.0,276.0,0,8.0,True,False,9.0,0.4680000000000035,-0.0,4.0,False,1,8,0.10526315789473684,79.906,2.097999999999999,81.896,82.071,0.10800000000000409,0.06699999999999307,0.875,81.8415,0.16250000000000853,81.81766666666667,0.24813772986974988,82.4476,0.8803932641773143,357.8255555555555,801.6107766620765,9.0,9.0,0.19718341715265927,0.4510668464872493,0.242039872748203,9,4,12.0,9.0,81.536,2494.817,357.8255555555555,9.0,13.0,0.11538461538461539,early,0,0.10126582278481013,1,51.66881715954669,276.0,176.0,100.0,0.6929133858267716,77.0,0_8,0,0.0,18.0
23,0,8,10.0,81.562,2.0,21.79,38.274,21.498,181.0,175.0,264.0,276.0,0,9.0,True,False,9.0,-0.4420000000000073,-0.0,4.0,False,1,9,0.11842105263157894,80.775,0.7869999999999919,81.591,81.394,-0.028999999999996362,-0.16799999999999216,0.5625,81.753,-0.1910000000000025,81.70066666666668,0.26301584169948566,82.0862,0.7717883126924886,330.1992,760.79841796494,9.0,9.0,0.1748733827659297,0.39213326816268795,0.2200438592643899,10,4,12.0,9.0,81.536,2494.817,330.1992,9.0,13.0,0.1282051282051282,early,0,0.11392405063291139,1,53.39787761075653,276.0,175.0,101.0,0.6830188679245283,83.0,0_8,0,0.0,18.0
