DriverNumber,Driver,Team,LapNumber,LapTime,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,Position
1,16,8,1.0,119.392,1.0,32.971,20.705,55.25,249.0,292.0,247.0,215.0,1,1.0,True,False,5.0
1,16,8,5.0,143.609,4.0,53.513,32.627,57.469,79.0,130.0,237.0,194.0,1,5.0,False,False,2.0
1,16,8,6.0,139.654,4.0,47.887,33.228,58.539,158.0,183.0,208.0,127.0,1,6.0,False,True,2.0
1,16,8,7.0,136.447,4.0,45.898,29.735,60.814,174.0,197.0,277.0,208.0,1,7.0,False,True,2.0
1,16,8,8.0,96.83,4.0,35.249,20.145,41.436,257.0,297.0,278.0,245.0,1,8.0,False,True,2.0
1,16,8,9.0,94.315,4.0,33.85,19.608,40.857,260.0,301.0,279.0,258.0,1,9.0,False,True,2.0
1,16,8,10.0,92.65,4.0,33.117,19.414,40.119,259.0,302.0,278.0,263.0,1,10.0,False,True,2.0
1,16,8,11.0,92.453,4.0,33.017,19.392,40.044,260.0,301.0,276.0,272.0,1,11.0,False,True,2.0
1,16,8,12.0,91.591,4.0,32.767,19.302,39.522,263.0,303.0,279.0,274.0,1,12.0,False,True,2.0
1,16,8,13.0,91.271,4.0,32.572,19.292,39.407,264.0,301.0,278.0,281.0,1,13.0,False,True,2.0
1,16,8,14.0,90.639,4.0,32.137,19.124,39.378,266.0,300.0,291.0,282.0,1,14.0,False,True,2.0
1,16,8,15.0,90.328,4.0,31.945,18.879,39.504,267.0,320.0,290.0,287.0,1,15.0,False,True,2.0
1,16,8,16.0,90.592,4.0,31.921,19.071,39.6,266.0,305.0,280.0,297.0,1,16.0,False,False,2.0
1,16,8,17.0,93.392,4.0,32.432,19.003,41.957,267.0,303.0,278.0,285.0,1,17.0,False,False,3.0
1,16,8,18.0,92.169,4.0,32.55,18.956,40.663,266.0,301.0,280.0,271.0,1,18.0,False,False,3.0
1,16,8,19.0,91.939,4.0,32.547,19.002,40.39,260.0,300.0,280.0,273.0,1,19.0,False,False,3.0
1,16,8,20.0,91.598,4.0,32.354,19.009,40.235,269.0,300.0,279.0,275.0,1,20.0,False,False,3.0
1,16,8,21.0,91.177,4.0,32.272,18.898,40.007,260.0,298.0,279.0,272.0,1,21.0,False,False,3.0
1,16,8,22.0,91.04,4.0,32.48,18.943,39.617,263.0,301.0,281.0,279.0,1,22.0,False,False,3.0
1,16,8,23.0,90.686,4.0,32.099,18.912,39.675,265.0,302.0,280.0,276.0,1,23.0,False,False,3.0
1,16,8,24.0,90.978,4.0,32.243,18.994,39.741,267.0,301.0,281.0,275.0,1,24.0,False,False,3.0
1,16,8,25.0,90.845,4.0,32.279,18.911,39.655,260.0,301.0,281.0,278.0,1,25.0,False,False,3.0
1,16,8,26.0,90.293,4.0,32.159,18.938,39.196,266.0,301.0,281.0,286.0,1,26.0,False,True,3.0
1,16,8,27.0,89.731,4.0,31.904,18.868,38.959,270.0,303.0,282.0,283.0,1,27.0,False,True,3.0
1,16,8,28.0,89.411,4.0,31.769,18.848,38.794,272.0,301.0,283.0,286.0,1,28.0,False,True,3.0
1,16,8,29.0,89.043,4.0,31.543,18.815,38.685,270.0,301.0,283.0,289.0,1,29.0,False,True,3.0
1,16,8,30.0,88.237,4.0,31.103,18.635,38.499,271.0,300.0,282.0,292.0,1,30.0,False,True,3.0
1,16,8,31.0,88.127,4.0,31.123,18.741,38.263,270.0,297.0,284.0,288.0,1,31.0,False,True,3.0
1,16,8,32.0,88.208,4.0,30.905,18.89,38.413,260.0,298.0,283.0,287.0,1,32.0,False,False,3.0
1,16,8,33.0,88.046,4.0,30.905,18.81,38.331,267.0,304.0,282.0,288.0,1,33.0,False,True,3.0
1,16,8,34.0,128.598,4.0,38.569,29.499,60.53,193.0,276.0,281.0,271.0,1,34.0,False,False,3.0
1,16,8,35.0,124.508,5.0,46.794,27.33,50.384,241.0,275.0,253.0,177.0,2,1.0,True,False,3.0
1,16,8,36.0,116.334,5.0,33.284,30.201,52.849,257.0,257.0,123.0,247.0,2,2.0,True,False,3.0
1,16,8,38.0,137.91,5.0,40.652,41.364,55.894,78.0,111.0,235.0,248.0,2,4.0,True,False,3.0
1,16,8,39.0,132.714,5.0,42.699,36.267,53.748,97.0,191.0,236.0,201.0,2,5.0,True,False,3.0
1,16,8,40.0,131.498,5.0,43.488,33.721,54.289,101.0,192.0,238.0,245.0,2,6.0,True,False,3.0
1,16,8,41.0,132.004,5.0,44.791,29.249,57.964,168.0,215.0,289.0,200.0,2,7.0,True,False,3.0
1,16,8,42.0,85.317,5.0,30.288,18.886,36.143,270.0,299.0,291.0,282.0,2,8.0,True,True,3.0
1,16,8,43.0,83.081,5.0,28.878,18.569,35.634,278.0,298.0,293.0,297.0,2,9.0,True,True,3.0
1,16,8,44.0,86.789,5.0,28.766,18.154,39.869,281.0,315.0,286.0,298.0,2,10.0,True,False,1.0
1,16,8,45.0,92.874,5.0,29.993,18.865,44.016,274.0,292.0,281.0,277.0,2,11.0,True,False,1.0
1,16,8,46.0,112.606,5.0,31.037,19.186,62.383,268.0,287.0,281.0,266.0,2,12.0,True,False,5.0
1,16,8,47.0,127.213,6.0,40.7,31.56,54.953,249.0,227.0,257.0,224.0,1,1.0,True,False,2.0
1,16,8,48.0,122.406,6.0,38.909,23.85,59.647,247.0,117.0,168.0,192.0,1,2.0,True,False,2.0
1,16,8,49.0,144.892,6.0,51.981,32.432,60.479,151.0,137.0,249.0,181.0,1,3.0,True,False,2.0
1,16,8,50.0,142.085,6.0,52.682,32.177,57.226,145.0,206.0,252.0,127.0,1,4.0,True,False,2.0
1,16,8,51.0,133.879,6.0,47.272,29.576,57.031,221.0,210.0,285.0,135.0,1,5.0,True,False,2.0
1,16,8,52.0,93.864,6.0,34.079,19.408,40.377,267.0,293.0,286.0,244.0,1,6.0,True,False,2.0
1,16,8,53.0,90.859,6.0,32.113,19.031,39.715,270.0,292.0,286.0,273.0,1,7.0,True,False,2.0
1,16,8,54.0,89.1,6.0,31.437,18.688,38.975,274.0,296.0,287.0,271.0,1,8.0,True,False,2.0
1,16,8,55.0,88.538,6.0,30.812,18.798000000000002,38.928,276.0,302.0,299.0,284.0,1,9.0,True,False,2.0
1,16,8,56.0,87.921,6.0,30.695,18.32,38.906,282.0,321.0,300.0,280.0,1,10.0,True,False,2.0
1,16,8,57.0,87.4,6.0,30.421,18.285,38.694,260.0,321.0,287.0,293.0,1,11.0,True,False,2.0
10,5,0,1.0,134.132,1.0,32.971,21.554,65.755,225.0,284.0,182.0,186.0,1,1.0,True,False,12.0
10,5,0,5.0,141.36,4.0,51.18,30.446,59.734,116.0,284.0,198.0,204.0,1,5.0,False,False,9.0
10,5,0,6.0,139.952,4.0,43.258,34.952,61.742,106.0,250.0,217.0,222.0,1,6.0,False,True,9.0
10,5,0,7.0,126.733,4.0,42.713,29.764,54.256,202.0,210.0,275.0,223.0,1,7.0,False,True,9.0
10,5,0,8.0,98.441,4.0,35.761,20.439,42.241,252.0,303.0,277.0,232.0,1,8.0,False,True,9.0
10,5,0,9.0,96.062,4.0,34.775,19.939,41.348,260.0,300.0,280.0,241.0,1,9.0,False,True,9.0
10,5,0,10.0,95.527,4.0,34.369,19.784,41.374,260.0,298.0,277.0,255.0,1,10.0,False,True,9.0
10,5,0,11.0,94.702,4.0,33.715,19.771,41.216,260.0,293.0,279.0,261.0,1,11.0,False,True,9.0
10,5,0,12.0,94.227,4.0,33.48,19.64,41.107,254.0,296.0,280.0,262.0,1,12.0,False,True,9.0
10,5,0,13.0,93.275,4.0,33.245,19.662,40.368,255.0,297.0,279.0,273.0,1,13.0,False,True,9.0
10,5,0,14.0,92.859,4.0,32.923,19.508,40.428,257.0,297.0,278.0,274.0,1,14.0,False,True,9.0
10,5,0,15.0,92.744,4.0,33.106,19.515,40.123,258.0,297.0,279.0,271.0,1,15.0,False,True,9.0
10,5,0,16.0,92.445,4.0,32.952,19.527,39.966,259.0,303.0,279.0,270.0,1,16.0,False,True,9.0
10,5,0,17.0,92.795,4.0,32.773,19.338,40.684,258.0,297.0,280.0,271.0,1,17.0,False,False,9.0
10,5,0,18.0,93.124,4.0,32.863,19.329,40.932,260.0,297.0,275.0,269.0,1,18.0,False,False,9.0
10,5,0,19.0,92.462,4.0,32.918,19.141,40.403,260.0,304.0,280.0,268.0,1,19.0,False,False,9.0
10,5,0,20.0,92.327,4.0,32.703,19.09,40.534,260.0,297.0,276.0,275.0,1,20.0,False,True,9.0
10,5,0,21.0,92.323,4.0,32.86,19.181,40.282,260.0,304.0,280.0,269.0,1,21.0,False,True,9.0
10,5,0,22.0,92.355,4.0,32.63,19.183,40.542,259.0,293.0,281.0,280.0,1,22.0,False,False,9.0
10,5,0,23.0,92.438,4.0,32.769,19.18,40.489,257.0,294.0,280.0,272.0,1,23.0,False,False,9.0
10,5,0,24.0,92.035,4.0,32.624,19.219,40.192,259.0,294.0,281.0,271.0,1,24.0,False,True,9.0
