DriverNumber,Driver,Team,LapNumber,LapTime,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,Position,lap_delta,position_change,cumulative_position_change,pit_stop,pit_stop_count,laps_in_stint,tyre_age_normalized,leader_lap_time,gap_to_leader,car_ahead_time,car_behind_time,gap_to_ahead,gap_to_behind,lap_time_percentile,team_avg_lap_time,gap_to_teammate,rolling_avg_lap_time_3,rolling_std_lap_time_3,rolling_avg_lap_time_5,rolling_std_lap_time_5,rolling_avg_lap_time_10,rolling_std_lap_time_10,rolling_avg_position_3,rolling_avg_position_5,rolling_std_sector1time_5,rolling_std_sector2time_5,rolling_std_sector3time_5,laps_completed,personal_bests_count,team_avg_position,team_best_position,best_lap_so_far,worst_lap_so_far,avg_lap_so_far,best_position_so_far,worst_position_so_far,race_progress,race_phase,race_phase_encoded,compound_age_ratio,fresh_tyre_numeric,speed_consistency,max_speed,min_speed,speed_range,speed_i1_to_fl_ratio,speed_improvement,driver_team_combo,driver_team_encoded,compound_life_interaction,position_stint_interaction
23,0,9,1.0,132.195,1.0,32.971,21.334,65.027,205.0,282.0,217.0,192.0,1,1.0,True,False,10.0,0.0,0.0,0.0,False,0,1,1.0,117.099,15.09599999999999,130.655,132.883,1.539999999999992,0.6880000000000166,0.4117647058823529,132.195,0.0,132.195,0.0,132.195,0.0,132.195,0.0,10.0,10.0,0.0,0.0,0.0,1,0,10.0,10.0,132.195,132.195,132.195,10.0,10.0,0.017543859649122806,early,0,0.024390243902439025,1,39.99166579843022,282.0,192.0,90.0,0.9403669724770642,12.0,0_9,0,1.0,10.0
23,0,9,5.0,142.084,4.0,51.338,30.169,60.577,101.0,246.0,200.0,190.0,1,3.0,False,False,7.0,9.88900000000001,3.0,3.0,True,1,1,0.0967741935483871,125.412,16.671999999999997,141.441,141.772,0.6430000000000007,-0.3120000000000118,0.7058823529411765,142.084,0.0,137.1395,6.992578959153776,137.1395,6.992578959153776,137.1395,6.992578959153776,8.5,8.5,12.987430250053322,6.247288411783148,3.1466251762801387,2,0,7.0,7.0,132.195,142.084,137.1395,7.0,10.0,0.08771929824561403,early,0,0.07317073170731707,0,60.621090939265244,246.0,101.0,145.0,0.5024875621890548,99.0,0_9,0,3.0,28.0
23,0,9,6.0,139.612,4.0,44.267,34.013,61.332,148.0,267.0,226.0,213.0,1,4.0,False,True,7.0,-2.4720000000000084,-0.0,3.0,False,1,2,0.12903225806451613,138.85,0.7620000000000005,139.381,140.418,0.23099999999999454,0.8060000000000116,0.29411764705882354,139.612,0.0,137.96366666666665,5.14643880108696,137.96366666666665,5.14643880108696,137.96366666666665,5.14643880108696,8.0,8.0,9.264136459127391,6.501161460334094,2.3813704037801435,3,1,7.0,7.0,132.195,142.084,137.96366666666665,7.0,10.0,0.10526315789473684,early,0,0.0975609756097561,0,49.35922743857863,267.0,148.0,119.0,0.6519823788546255,78.0,0_9,0,4.0,28.0
23,0,9,7.0,129.065,4.0,43.84,29.976,55.249,168.0,169.0,278.0,229.0,1,5.0,False,True,7.0,-10.546999999999997,-0.0,3.0,False,1,3,0.16129032258064516,122.192,6.873000000000005,131.451,127.498,-2.3859999999999957,-1.566999999999993,0.6470588235294118,129.065,0.0,136.92033333333333,6.914288996949245,135.739,6.1199500542624214,135.739,6.1199500542624214,7.0,7.75,7.580033201334501,5.358866360217118,4.031390444581951,4,2,7.0,7.0,129.065,142.084,135.739,7.0,10.0,0.12280701754385964,early,0,0.12195121951219512,0,52.99685525261538,278.0,168.0,110.0,0.6021505376344086,110.0,0_9,0,5.0,28.0
23,0,9,8.0,98.281,4.0,35.515,20.233,42.533,250.0,308.0,285.0,271.0,1,6.0,False,True,7.0,-30.783999999999992,-0.0,3.0,False,1,4,0.1935483870967742,96.278,2.003,98.464,98.311,-0.18299999999999272,0.030000000000001137,0.35294117647058826,98.281,0.0,122.31933333333332,21.475355744046094,128.2474,17.570164891087376,128.2474,17.570164891087376,7.0,7.6,7.3899432812437755,6.038874605421112,8.779778858262889,5,3,7.0,7.0,98.281,142.084,128.2474,7.0,10.0,0.14035087719298245,early,0,0.14634146341463414,0,24.365275838099322,308.0,250.0,58.0,0.8741258741258742,35.0,0_9,0,6.0,28.0
23,0,9,9.0,96.3,4.0,34.639,19.865,41.796,254.0,308.0,283.0,234.0,1,7.0,False,True,7.0,-1.9810000000000088,-0.0,3.0,False,1,5,0.22580645161290322,94.315,1.9849999999999994,95.409,96.242,0.8909999999999911,-0.057999999999992724,0.6470588235294118,96.3,0.0,107.882,18.371736635386466,121.0684,22.260982644528497,122.92283333333334,20.422404769435598,7.0,7.0,6.92694952341938,6.416212138014141,9.546080677429877,6,4,7.0,7.0,96.3,142.084,122.92283333333334,7.0,10.0,0.15789473684210525,early,0,0.17073170731707318,0,32.4794807019242,308.0,234.0,74.0,0.8943661971830986,29.0,0_9,0,7.0,28.0
23,0,9,10.0,94.494,4.0,33.776,19.742,40.976,261.0,306.0,284.0,271.0,1,8.0,False,True,7.0,-1.8059999999999974,-0.0,3.0,False,1,6,0.25806451612903225,92.13,2.3640000000000043,94.433,95.107,0.06099999999999284,0.6129999999999995,0.4117647058823529,94.494,0.0,96.35833333333333,1.8941737864661143,111.5504,21.176561720449286,118.86157142857142,21.517879037807454,7.0,7.0,5.192897485989871,6.753879899731707,9.317900874123962,7,5,7.0,7.0,94.494,142.084,118.86157142857142,7.0,10.0,0.17543859649122806,early,0,0.1951219512195122,0,19.433647796197878,306.0,261.0,45.0,0.9157894736842105,23.0,0_9,0,8.0,28.0
23,0,9,11.0,94.206,4.0,33.54,19.704,40.962,262.0,306.0,283.0,252.0,1,9.0,False,True,7.0,-0.2879999999999967,-0.0,3.0,False,1,7,0.2903225806451613,91.959,2.247,94.136,94.299,0.07000000000000739,0.09300000000000352,0.35294117647058826,94.206,0.0,95.0,1.1350048458055813,102.4692,14.95677868727078,115.779625,21.745359970988204,7.0,7.0,4.307194620631844,4.5172223212943585,6.153537088536974,8,6,7.0,7.0,94.206,142.084,115.779625,7.0,10.0,0.19298245614035087,early,0,0.21951219512195122,0,23.949599857478482,306.0,252.0,54.0,0.9225352112676056,21.0,0_9,0,9.0,28.0
23,0,9,12.0,93.713,4.0,33.608,19.618,40.487,260.0,304.0,286.0,255.0,1,10.0,False,True,7.0,-0.4930000000000092,-0.0,3.0,False,1,8,0.3225806451612903,91.29,2.4229999999999876,93.273,93.255,0.4399999999999977,-0.4579999999999984,0.47058823529411764,93.713,0.0,94.13766666666668,0.3949586476272875,95.3988,1.8843165073832377,113.32777777777778,21.63000435608933,7.0,7.0,0.8494953207639486,0.24091969616449269,0.8114170937317764,9,7,7.0,7.0,93.713,142.084,113.32777777777778,7.0,10.0,0.21052631578947367,early,0,0.24390243902439024,0,22.954665466232928,304.0,255.0,49.0,0.9059233449477352,26.0,0_9,0,10.0,28.0
23,0,9,13.0,93.153,4.0,32.977,19.626,40.55,263.0,301.0,284.0,256.0,1,11.0,False,True,7.0,-0.5599999999999881,-0.0,3.0,False,1,9,0.3548387096774194,91.271,1.882000000000005,92.762,93.017,0.39100000000000534,-0.1360000000000099,0.47058823529411764,93.153,0.0,93.69066666666667,0.5268551350567033,94.3732,1.191622717136959,111.31030000000001,21.367618803798504,7.0,7.0,0.6008265140619553,0.10074720839800669,0.5222108769454432,10,8,7.0,7.0,93.153,142.084,111.31030000000001,7.0,10.0,0.22807017543859648,early,0,0.2682926829268293,0,20.477630071210225,301.0,256.0,45.0,0.9228070175438596,21.0,0_9,0,11.0,28.0
