DriverNumber,Driver,Team,LapNumber,LapTime,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,Position
81,14,5,1.0,98.693,1.0,31.3485,42.13,23.956,233.0,244.0,274.0,250.0,2,4.0,False,False,1.0
81,14,5,2.0,97.492,1.0,31.139,42.343,24.01,234.0,239.0,276.0,288.0,2,5.0,False,True,1.0
81,14,5,3.0,98.083,1.0,31.306,42.727,24.05,233.0,236.0,276.0,290.0,2,6.0,False,False,1.0
81,14,5,4.0,98.133,1.0,31.326,42.796,24.011,232.0,237.0,277.0,293.0,2,7.0,False,False,1.0
81,14,5,5.0,98.043,1.0,31.305,42.69,24.048,231.0,236.0,276.0,290.0,2,8.0,False,False,1.0
81,14,5,6.0,98.363,1.0,31.336,42.88,24.147,228.0,237.0,276.0,302.0,2,9.0,False,False,1.0
81,14,5,7.0,98.498,1.0,31.448,42.862,24.188,229.0,239.0,277.0,291.0,2,10.0,False,False,1.0
81,14,5,8.0,98.567,1.0,31.5,42.865,24.202,231.0,241.0,277.0,288.0,2,11.0,False,False,1.0
81,14,5,9.0,98.8,1.0,31.521,42.944,24.335,230.0,238.0,277.0,291.0,2,12.0,False,False,1.0
81,14,5,10.0,98.549,1.0,31.452,42.868,24.229,231.0,242.0,277.0,295.0,2,13.0,False,False,1.0
81,14,5,11.0,98.681,1.0,31.426,43.024,24.231,231.0,250.0,278.0,302.0,2,14.0,False,False,1.0
81,14,5,12.0,99.028,1.0,31.526,43.156,24.346,229.0,239.0,278.0,296.0,2,15.0,False,False,1.0
81,14,5,13.0,98.763,1.0,31.482,43.069,24.212,232.0,239.0,277.0,298.0,2,16.0,False,False,1.0
81,14,5,14.0,101.297,1.0,31.525,42.952,26.82,231.0,249.0,282.0,295.0,2,17.0,False,False,1.0
81,14,5,15.0,118.856,2.0,52.025,43.048,23.783,232.0,233.0,277.0,218.0,1,1.0,True,False,3.0
81,14,5,16.0,98.063,2.0,31.078,43.003,23.982,234.0,230.0,278.0,297.0,1,2.0,True,False,3.0
81,14,5,17.0,97.733,2.0,30.997,42.803,23.933,232.0,233.0,278.0,296.0,1,3.0,True,False,3.0
