DriverNumber,Driver,Team,LapNumber,LapTime,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,Position
81,14,5,1.0,98.344,1.0,26.119,28.932,41.859,277.0,272.0,256.0,308.0,1,1.0,True,False,1.0
81,14,5,2.0,97.551,1.0,26.193,29.261,42.097,278.0,271.0,255.0,311.0,1,2.0,True,True,1.0
81,14,5,3.0,97.689,1.0,26.011,29.486,42.192,275.0,272.0,256.0,310.0,1,3.0,True,False,1.0
81,14,5,4.0,97.804,1.0,26.345,29.43,42.029,271.0,269.0,256.0,313.0,1,4.0,True,False,1.0
81,14,5,5.0,98.082,1.0,26.312,29.729,42.041,273.0,270.0,256.0,313.0,1,5.0,True,False,1.0
81,14,5,6.0,97.539,1.0,26.187,29.451,41.901,272.0,271.0,257.0,312.0,1,6.0,True,True,1.0
81,14,5,7.0,97.898,1.0,26.337,29.711,41.85,277.0,269.0,257.0,314.0,1,7.0,True,False,1.0
81,14,5,8.0,98.193,1.0,26.341,29.696,42.156,271.0,269.0,256.0,315.0,1,8.0,True,False,1.0
81,14,5,9.0,98.199,1.0,26.468,29.696,42.035,277.0,267.0,257.0,314.0,1,9.0,True,False,1.0
81,14,5,10.0,97.994,1.0,26.314,29.785,41.895,272.0,270.0,256.0,316.0,1,10.0,True,False,1.0
81,14,5,11.0,98.124,1.0,26.314,29.718,42.092,273.0,270.0,257.0,315.0,1,11.0,True,False,1.0
81,14,5,12.0,98.113,1.0,26.34,29.782,41.991,272.0,271.0,258.0,314.0,1,12.0,True,False,1.0
81,14,5,13.0,97.955,1.0,26.16,29.706,42.089,273.0,270.0,258.0,314.0,1,13.0,True,False,1.0
81,14,5,14.0,102.626,1.0,26.25,29.472,46.904,277.0,271.0,262.0,313.0,1,14.0,True,False,2.0
81,14,5,15.0,117.53,2.0,45.661,29.73,42.139,278.0,269.0,258.0,312.0,0,1.0,True,False,4.0
81,14,5,16.0,97.407,2.0,26.166,29.557,41.684,276.0,273.0,261.0,314.0,0,2.0,True,True,2.0
81,14,5,17.0,96.891,2.0,25.902,29.667,41.322,274.0,272.0,259.0,338.0,0,3.0,True,True,1.0
81,14,5,18.0,97.171,2.0,26.135,29.381,41.655,271.0,266.0,259.0,312.0,0,4.0,True,False,1.0
81,14,5,19.0,97.211,2.0,25.989,29.447,41.775,277.0,268.0,259.0,314.0,0,5.0,True,False,1.0
81,14,5,20.0,97.408,2.0,26.183,29.562,41.663,274.0,272.0,257.0,315.0,0,6.0,True,False,1.0
81,14,5,21.0,97.985,2.0,26.27,29.726,41.989,275.0,272.0,258.0,314.0,0,7.0,True,False,1.0
81,14,5,22.0,97.738,2.0,26.258,29.689,41.791,273.0,272.0,259.0,316.0,0,8.0,True,False,1.0
81,14,5,23.0,97.232,2.0,26.2,29.359,41.673,274.0,271.0,261.0,315.0,0,9.0,True,False,1.0
81,14,5,24.0,96.97,2.0,25.901,29.43,41.639,273.0,273.0,258.0,314.0,0,10.0,True,False,1.0
