DriverNumber,Driver,Team,LapNumber,LapTime,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,Position
1,19,8,1.0,94.725,1.0,32.767,41.962,18.147,281.0,295.0,262.0,293.0,1,1.0,True,False,1.0
1,19,8,2.0,93.943,1.0,33.894,42.026,18.023,279.0,296.0,262.0,295.0,1,2.0,True,True,1.0
1,19,8,3.0,93.639,1.0,33.567,42.027,18.045,282.0,296.0,262.0,296.0,1,3.0,True,True,1.0
1,19,8,4.0,93.744,1.0,33.57,42.14,18.034,283.0,296.0,263.0,296.0,1,4.0,True,False,1.0
1,19,8,5.0,93.776,1.0,33.486,42.157,18.133,281.0,297.0,263.0,298.0,1,5.0,True,False,1.0
1,19,8,6.0,93.646,1.0,33.319,42.252,18.075,281.0,297.0,263.0,297.0,1,6.0,True,False,1.0
1,19,8,7.0,93.526,1.0,33.193,42.278,18.055,281.0,296.0,263.0,297.0,1,7.0,True,True,1.0
1,19,8,8.0,93.536,1.0,33.13,42.336,18.07,284.0,296.0,263.0,297.0,1,8.0,True,False,1.0
1,19,8,9.0,93.529,1.0,33.067,42.336,18.126,282.0,297.0,262.0,297.0,1,9.0,True,False,1.0
1,19,8,10.0,93.555,1.0,33.118,42.367,18.07,281.0,297.0,262.0,298.0,1,10.0,True,False,1.0
1,19,8,11.0,93.498,1.0,33.132,42.299,18.067,281.0,297.0,263.0,298.0,1,11.0,True,True,1.0
1,19,8,12.0,93.643,1.0,33.046,42.461,18.136,284.0,297.0,263.0,298.0,1,12.0,True,False,1.0
1,19,8,13.0,93.64,1.0,33.035,42.473,18.132,283.0,297.0,263.0,297.0,1,13.0,True,False,1.0
1,19,8,14.0,93.38,1.0,32.875,42.429,18.076,284.0,297.0,263.0,298.0,1,14.0,True,True,1.0
1,19,8,15.0,93.368,1.0,32.898,42.373,18.097,285.0,297.0,263.0,299.0,1,15.0,True,True,1.0
1,19,8,16.0,93.431,1.0,32.825,42.538,18.068,284.0,297.0,263.0,298.0,1,16.0,True,False,1.0
1,19,8,17.0,93.542,1.0,32.841,42.557,18.144,281.0,298.0,263.0,298.0,1,17.0,True,False,1.0
1,19,8,18.0,93.353,1.0,32.785,42.491,18.077,285.0,298.0,263.0,297.0,1,18.0,True,True,1.0
1,19,8,19.0,93.358,1.0,32.745,42.482,18.131,284.0,298.0,264.0,298.0,1,19.0,True,False,1.0
1,19,8,20.0,93.064,1.0,32.474,42.472,18.118,285.0,298.0,264.0,298.0,1,20.0,True,True,1.0
1,19,8,21.0,95.22,1.0,32.449,42.44,20.331,281.0,298.0,267.0,299.0,1,21.0,True,False,1.0
1,19,8,22.0,114.078,2.0,54.295,41.802,17.981,283.0,302.0,266.0,301.0,0,1.0,True,False,5.0
1,19,8,23.0,92.682,2.0,32.736,41.867,18.079,284.0,306.0,272.0,306.0,0,2.0,True,True,5.0
1,19,8,24.0,92.291,2.0,32.379,41.95,17.962,282.0,303.0,265.0,303.0,0,3.0,True,True,4.0
1,19,8,25.0,92.506,2.0,32.606,41.89,18.01,287.0,303.0,265.0,303.0,0,4.0,True,False,3.0
1,19,8,26.0,92.448,2.0,32.488,41.948,18.012,286.0,301.0,266.0,302.0,0,5.0,True,False,3.0
1,19,8,27.0,92.346,2.0,32.464,41.948,17.934,281.0,302.0,266.0,302.0,0,6.0,True,False,3.0
1,19,8,28.0,92.463,2.0,32.516,41.941,18.006,285.0,302.0,267.0,301.0,0,7.0,True,False,3.0
1,19,8,29.0,92.148,2.0,32.292,41.902,17.954,287.0,302.0,267.0,302.0,0,8.0,True,True,3.0
1,19,8,30.0,92.646,2.0,32.347,42.049,18.25,284.0,303.0,270.0,304.0,0,9.0,True,False,2.0
1,19,8,31.0,91.734,2.0,31.854,41.932,17.948,287.0,301.0,265.0,302.0,0,10.0,True,True,2.0
1,19,8,32.0,92.033,2.0,32.143,41.921,17.969,286.0,299.0,266.0,300.0,0,11.0,True,False,1.0
1,19,8,33.0,91.814,2.0,32.065,41.803,17.946,281.0,299.0,266.0,300.0,0,12.0,True,False,1.0
