DriverNumber,Driver,Team,LapNumber,LapTime,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,Position
1,19,8,1.0,87.02,1.0,20.229,38.394,21.759,170.0,178.0,253.0,258.0,0,1.0,True,False,4.0
1,19,8,2.0,106.318,1.0,34.949,45.145,26.224,83.0,167.0,229.0,254.0,0,2.0,True,True,4.0
1,19,8,3.0,108.815,1.0,32.11,47.43,29.275,159.0,100.0,226.0,257.0,0,3.0,True,False,4.0
1,19,8,4.0,100.29,1.0,31.006,47.889,21.395,136.0,170.0,262.0,253.0,0,4.0,True,True,4.0
1,19,8,5.0,80.8,1.0,21.744,37.485,21.571,177.0,173.0,254.0,262.0,0,5.0,True,True,4.0
1,19,8,6.0,80.011,1.0,21.37,37.325,21.316,182.0,181.0,254.0,265.0,0,6.0,True,True,4.0
1,19,8,7.0,78.968,1.0,21.25,37.105,20.613,184.0,188.0,255.0,258.0,0,7.0,True,True,4.0
1,19,8,8.0,77.714,1.0,20.467,36.796,20.451,195.0,191.0,256.0,263.0,0,8.0,True,True,4.0
1,19,8,9.0,81.205,1.0,20.277,39.989,20.939,199.0,179.0,266.0,255.0,0,9.0,True,False,4.0
1,19,8,10.0,79.169,1.0,20.44,38.145,20.584,195.0,184.0,266.0,263.0,0,10.0,True,False,4.0
1,19,8,11.0,77.481,1.0,20.295,36.676,20.51,200.0,188.0,265.0,276.0,0,11.0,True,True,4.0
1,19,8,12.0,78.128,1.0,20.612,37.001,20.515,179.0,188.0,257.0,265.0,0,12.0,True,False,4.0
1,19,8,13.0,77.122,1.0,20.309,36.424,20.389,193.0,191.0,257.0,266.0,0,13.0,True,True,4.0
1,19,8,14.0,76.81,1.0,20.267,36.267,20.276,203.0,184.0,256.0,272.0,0,14.0,True,True,4.0
1,19,8,15.0,76.38,1.0,20.364,35.859,20.157,198.0,193.0,255.0,272.0,0,15.0,True,True,4.0
1,19,8,16.0,75.392,1.0,19.731,35.563,20.098,205.0,193.0,256.0,275.0,0,16.0,True,True,4.0
1,19,8,17.0,75.131,1.0,19.685,35.563,19.883,201.0,194.0,257.0,276.0,0,17.0,True,True,4.0
1,19,8,18.0,75.035,1.0,19.671,35.457,19.907,202.0,196.0,257.0,277.0,0,18.0,True,True,4.0
1,19,8,19.0,75.413,1.0,19.78,35.664,19.969,199.0,196.0,257.0,278.0,0,19.0,True,False,3.0
1,19,8,20.0,75.233,1.0,19.782,35.584,19.867,202.0,195.0,257.0,278.0,0,20.0,True,False,2.0
1,19,8,21.0,75.248,1.0,19.689,35.577,19.982,206.0,195.0,257.0,277.0,0,21.0,True,False,2.0
1,19,8,22.0,75.291,1.0,19.708,35.68,19.903,204.0,195.0,257.0,278.0,0,22.0,True,False,1.0
1,19,8,23.0,75.254,1.0,19.733,35.652,19.869,205.0,195.0,258.0,278.0,0,23.0,True,False,1.0
1,19,8,24.0,75.181,1.0,19.692,35.626,19.863,206.0,194.0,258.0,279.0,0,24.0,True,False,1.0
1,19,8,25.0,75.175,1.0,19.654,35.602,19.919,204.0,196.0,259.0,280.0,0,25.0,True,False,1.0
1,19,8,26.0,76.288,1.0,20.045,36.058,20.185,197.0,191.0,257.0,281.0,0,26.0,True,False,1.0
1,19,8,27.0,76.323,1.0,20.056,35.969,20.298,203.0,194.0,264.0,282.0,0,27.0,True,False,1.0
1,19,8,28.0,92.651,1.0,19.666,35.884,37.101,207.0,193.0,259.0,280.0,0,28.0,True,False,4.0
1,19,8,29.0,78.571,2.0,22.4,36.001,20.17,196.0,194.0,257.0,274.0,1,1.0,True,False,4.0
1,19,8,30.0,75.074,2.0,19.719,35.517,19.838,201.0,193.0,258.0,280.0,1,2.0,True,False,4.0
1,19,8,31.0,75.133,2.0,19.737,35.377,20.019,202.0,194.0,259.0,281.0,1,3.0,True,False,4.0
1,19,8,32.0,75.424,2.0,19.687,35.603,20.134,201.0,193.0,268.0,284.0,1,4.0,True,False,4.0
1,19,8,33.0,76.213,2.0,20.137,35.965,20.111,188.0,194.0,260.0,282.0,1,5.0,True,False,4.0
1,19,8,34.0,75.8,2.0,19.875,35.765,20.16,199.0,193.0,265.0,280.0,1,6.0,True,False,4.0
1,19,8,35.0,75.33,2.0,19.747,35.817,19.766,195.0,195.0,259.0,278.0,1,7.0,True,False,4.0
1,19,8,36.0,74.976,2.0,19.598,35.487,19.891,202.0,195.0,258.0,277.0,1,8.0,True,True,4.0
1,19,8,37.0,75.025,2.0,19.696,35.48,19.849,204.0,197.0,258.0,279.0,1,9.0,True,False,4.0
1,19,8,38.0,74.677,2.0,19.623,35.174,19.88,197.0,198.0,258.0,277.0,1,10.0,True,True,4.0
1,19,8,39.0,74.785,2.0,19.649,35.315,19.821,197.0,196.0,257.0,278.0,1,11.0,True,False,4.0
1,19,8,40.0,74.421,2.0,19.394,35.181,19.846,206.0,199.0,258.0,278.0,1,12.0,True,True,4.0
1,19,8,41.0,74.39,2.0,19.417,35.304,19.669,208.0,197.0,259.0,278.0,1,13.0,True,True,4.0
1,19,8,42.0,74.456,2.0,19.417,35.224,19.815,202.0,199.0,258.0,278.0,1,14.0,True,False,4.0
1,19,8,43.0,74.567,2.0,19.481,35.255,19.831,204.0,197.0,258.0,279.0,1,15.0,True,False,4.0
1,19,8,44.0,74.38,2.0,19.606,35.103,19.671,208.0,199.0,259.0,279.0,1,16.0,True,True,4.0
1,19,8,45.0,74.23,2.0,19.363,35.111,19.756,207.0,199.0,260.0,280.0,1,17.0,True,True,4.0
1,19,8,46.0,74.897,2.0,19.768,35.294,19.835,205.0,199.0,260.0,280.0,1,18.0,True,False,4.0
1,19,8,47.0,74.859,2.0,19.698,35.394,19.767,208.0,196.0,259.0,280.0,1,19.0,True,False,4.0
1,19,8,48.0,74.538,2.0,19.396,35.389,19.753,206.0,198.0,260.0,280.0,1,20.0,True,False,3.0
1,19,8,49.0,74.261,2.0,19.233,35.294,19.734,210.0,200.0,259.0,280.0,1,21.0,True,False,2.0
1,19,8,50.0,74.426,2.0,19.4,35.341,19.685,209.0,201.0,259.0,282.0,1,22.0,True,False,1.0
1,19,8,51.0,75.165,2.0,19.475,35.782,19.908,208.0,197.0,259.0,282.0,1,23.0,True,False,1.0
1,19,8,52.0,76.328,2.0,19.804,36.13,20.394,205.0,195.0,266.0,282.0,1,24.0,True,False,1.0
1,19,8,53.0,77.547,2.0,19.853,37.06,20.634,199.0,186.0,266.0,281.0,1,25.0,True,False,1.0
1,19,8,54.0,75.872,2.0,19.944,36.007,19.921,204.0,197.0,257.0,275.0,1,26.0,True,False,1.0
1,19,8,55.0,75.62,2.0,19.683,36.003,19.934,209.0,197.0,256.0,274.0,1,27.0,True,False,1.0
1,19,8,56.0,75.33,2.0,19.636,35.81,19.884,206.0,199.0,256.0,273.0,1,28.0,True,False,1.0
1,19,8,57.0,75.418,2.0,19.747,35.825,19.846,210.0,200.0,257.0,273.0,1,29.0,True,False,1.0
1,19,8,58.0,75.247,2.0,19.544,35.89,19.813,208.0,199.0,258.0,274.0,1,30.0,True,False,1.0
1,19,8,59.0,75.35,2.0,19.588,35.921,19.841,197.0,199.0,258.0,274.0,1,31.0,True,False,1.0
