DriverNumber,Driver,Team,LapNumber,LapTime,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,Position
81,13,5,1.0,124.986,1.0,34.9285,29.518,58.921,287.0,304.0,163.0,145.0,1,1.0,True,False,3.0
81,13,5,4.0,94.247,1.0,34.829,29.607,29.811,287.0,300.0,294.0,307.0,1,4.0,True,True,2.0
81,13,5,5.0,93.418,1.0,34.522,29.411,29.485,289.0,303.0,304.0,325.0,1,5.0,True,True,2.0
81,13,5,6.0,93.917,1.0,34.783,29.453,29.681,289.0,301.0,296.0,308.0,1,6.0,True,False,2.0
81,13,5,7.0,93.523,1.0,34.373,29.422,29.728,290.0,300.0,296.0,306.0,1,7.0,True,False,2.0
81,13,5,8.0,93.893,1.0,34.442,29.51,29.941,289.0,300.0,296.0,307.0,1,8.0,True,False,2.0
81,13,5,9.0,93.5,1.0,34.313,29.439,29.748,290.0,300.0,305.0,308.0,1,9.0,True,False,2.0
81,13,5,10.0,94.045,1.0,34.605,29.507,29.933,289.0,300.0,296.0,308.0,1,10.0,True,False,2.0
81,13,5,11.0,93.808,1.0,34.58,29.489,29.739,289.0,304.0,305.0,311.0,1,11.0,True,False,2.0
81,13,5,12.0,93.77,1.0,34.622,29.451,29.697,289.0,304.0,305.0,325.0,1,12.0,True,False,2.0
81,13,5,13.0,94.28,1.0,34.793,29.535,29.951999999999998,288.0,303.0,295.0,310.0,1,13.0,True,False,2.0
81,13,5,14.0,94.072,1.0,34.687,29.512,29.873,289.0,304.0,295.0,311.0,1,14.0,True,False,2.0
81,13,5,15.0,94.149,1.0,34.695,29.55,29.904,289.0,304.0,296.0,310.0,1,15.0,True,False,2.0
81,13,5,16.0,94.124,1.0,34.602,29.559,29.963,289.0,306.0,296.0,311.0,1,16.0,True,False,2.0
81,13,5,17.0,94.279,1.0,34.66,29.568,30.051,289.0,302.0,296.0,307.0,1,17.0,True,False,2.0
81,13,5,18.0,94.16,1.0,34.63,29.58,29.95,289.0,304.0,296.0,309.0,1,18.0,True,False,2.0
81,13,5,19.0,96.45,1.0,34.626,29.498,32.326,288.0,301.0,299.0,309.0,1,19.0,True,False,2.0
81,13,5,20.0,110.606,2.0,51.972,29.347,29.287,290.0,302.0,299.0,310.0,0,1.0,True,False,6.0
81,13,5,21.0,93.795,2.0,34.459,29.2,30.136,292.0,329.0,296.0,304.0,0,2.0,True,False,4.0
81,13,5,22.0,94.024,2.0,34.785,29.587,29.652,290.0,301.0,297.0,307.0,0,3.0,True,False,3.0
81,13,5,23.0,93.119,2.0,34.381,29.22,29.518,291.0,302.0,298.0,308.0,0,4.0,True,True,3.0
81,13,5,24.0,92.76,2.0,34.193,29.187,29.38,289.0,300.0,298.0,309.0,0,5.0,True,True,3.0
81,13,5,25.0,93.092,2.0,34.283,29.231,29.578,289.0,304.0,298.0,308.0,0,6.0,True,False,3.0
81,13,5,26.0,92.922,2.0,34.266,29.162,29.494,292.0,302.0,298.0,308.0,0,7.0,True,False,3.0
81,13,5,27.0,92.875,2.0,34.366,29.086,29.423,291.0,302.0,299.0,309.0,0,8.0,True,False,3.0
81,13,5,28.0,92.831,2.0,34.294,29.159,29.378,292.0,306.0,299.0,311.0,0,9.0,True,False,3.0
81,13,5,29.0,92.808,2.0,34.288,29.162,29.358,289.0,306.0,299.0,313.0,0,10.0,True,False,3.0
81,13,5,30.0,92.938,2.0,34.367,29.205,29.366,289.0,303.0,299.0,312.0,0,11.0,True,False,2.0
81,13,5,31.0,92.774,2.0,34.242,29.168,29.364,289.0,304.0,299.0,312.0,0,12.0,True,False,2.0
81,13,5,32.0,92.787,2.0,34.166,29.203,29.418,289.0,306.0,299.0,311.0,0,13.0,True,False,2.0
81,13,5,33.0,92.657,2.0,34.109,29.134,29.414,289.0,307.0,300.0,311.0,0,14.0,True,True,2.0
81,13,5,34.0,93.201,2.0,34.353,29.343,29.505,290.0,305.0,299.0,310.0,0,15.0,True,False,1.0
81,13,5,35.0,92.555,2.0,34.021,29.029,29.505,291.0,305.0,299.0,309.0,0,16.0,True,True,1.0
81,13,5,36.0,92.624,2.0,33.979,29.164,29.481,289.0,305.0,299.0,307.0,0,17.0,True,False,1.0
81,13,5,37.0,92.7,2.0,33.934,29.202,29.564,293.0,302.0,299.0,306.0,0,18.0,True,False,1.0
81,13,5,38.0,92.663,2.0,34.082,29.184,29.397,291.0,306.0,300.0,308.0,0,19.0,True,False,1.0
81,13,5,39.0,92.701,2.0,34.066,29.177,29.458,293.0,305.0,300.0,310.0,0,20.0,True,False,1.0
81,13,5,40.0,92.778,2.0,34.194,29.092,29.492,289.0,307.0,300.0,311.0,0,21.0,True,False,1.0
